math_score,programming_score,creativity_score,communication_score,problem_solving_score,theory_score,interest_tech,interest_arts,interest_business,E_vs_I,S_vs_N,T_vs_F,J_vs_P,career
10,8,4,5,2,4,1,0,1,0,0,0,1,UI/UX Designer
9,10,9,5,6,2,1,0,1,0,1,0,1,Graphic Designer
10,9,10,4,1,10,1,1,0,0,1,0,1,Teacher / Lecturer
5,2,6,6,3,9,0,0,1,1,0,0,0,AI/ML Engineer
2,10,2,3,2,5,0,0,1,0,1,0,0,Research Scientist
4,2,7,9,7,4,1,1,1,0,1,0,0,Software Developer
7,5,2,5,4,2,0,0,1,0,0,1,0,Data Scientist
8,5,2,3,8,1,1,1,0,0,0,0,1,Research Scientist
3,6,1,1,6,7,0,0,1,1,0,0,1,Business Analyst
1,3,3,10,10,6,0,0,0,1,1,1,0,Product Manager
4,8,6,6,4,2,0,1,0,0,0,0,1,Data Scientist
2,1,8,2,5,8,1,1,0,1,1,1,0,DevOps Engineer
8,6,9,3,9,4,0,0,0,0,1,1,0,DevOps Engineer
4,4,7,1,7,8,0,1,1,0,1,1,0,Data Scientist
2,1,4,9,10,7,1,1,1,1,1,0,1,Technical Writer
6,7,6,8,9,5,1,0,0,1,0,0,1,Research Scientist
6,9,5,2,7,10,1,0,0,0,0,1,1,Graphic Designer
10,4,8,8,1,10,1,0,0,0,1,0,1,Digital Marketing Specialist
4,4,1,9,8,8,0,1,0,1,0,0,0,Technical Writer
6,6,1,1,4,9,0,1,1,0,1,1,1,Teacher / Lecturer
2,3,6,5,3,5,0,1,0,1,1,1,1,Digital Marketing Specialist
10,6,10,8,7,10,0,1,1,0,1,0,1,DevOps Engineer
2,7,2,2,3,5,0,0,0,0,0,1,0,Business Analyst
10,10,5,4,8,2,1,1,0,1,1,1,0,DevOps Engineer
4,10,1,7,6,5,0,0,0,1,1,1,1,Project Manager
8,3,7,3,5,3,0,1,0,1,0,0,1,Cloud Engineer
7,7,1,5,4,7,0,0,1,1,0,0,1,Software Developer
9,3,4,8,8,10,1,0,1,1,0,0,1,Data Scientist
8,2,9,10,8,5,1,0,1,1,0,1,0,Research Scientist
5,10,1,3,1,8,0,1,0,1,1,0,1,Digital Marketing Specialist
2,4,4,4,9,1,1,0,0,0,0,1,1,Research Scientist
5,8,6,9,5,3,1,0,1,0,1,0,1,Product Manager
8,9,6,7,4,3,1,1,1,0,0,0,0,Software Developer
10,7,8,1,6,9,1,0,0,1,0,1,0,UI/UX Designer
9,1,1,4,6,5,1,1,0,1,0,0,1,Graphic Designer
9,3,7,4,2,9,1,1,1,1,0,1,1,Product Manager
1,9,1,9,8,9,1,0,0,0,0,0,1,Graphic Designer
9,1,7,6,7,1,0,0,0,1,0,0,1,Business Analyst
7,9,3,9,1,2,0,1,1,1,1,1,1,Digital Marketing Specialist
9,8,8,6,5,5,1,0,0,0,0,1,0,Software Developer
8,1,3,6,6,4,0,1,1,1,0,1,0,Cybersecurity Specialist
1,6,1,5,4,10,0,1,0,0,0,0,0,Teacher / Lecturer
8,5,8,5,2,9,1,1,1,0,0,0,1,Data Scientist
8,6,3,2,4,7,0,0,0,1,1,0,0,UI/UX Designer
3,10,2,8,1,6,1,1,1,1,0,1,0,Cloud Engineer
1,5,1,8,7,7,1,0,1,1,0,1,0,Business Analyst
8,6,3,1,2,1,1,0,1,0,0,1,1,Technical Writer
3,5,2,8,2,1,0,0,1,0,0,0,1,Cybersecurity Specialist
3,5,2,5,9,8,0,0,0,0,1,0,0,Teacher / Lecturer
1,4,6,2,5,2,0,1,0,1,0,1,1,Business Analyst
5,3,1,2,2,10,0,0,1,1,1,0,0,Data Scientist
10,3,2,6,9,9,1,1,0,1,0,1,0,Business Analyst
7,4,6,9,9,7,1,1,0,1,1,0,0,Graphic Designer
10,9,3,1,1,6,0,0,0,0,1,0,0,Business Analyst
9,2,4,6,3,1,1,1,0,0,0,1,1,Cloud Engineer
7,9,1,9,4,1,1,1,0,0,0,0,1,Data Scientist
9,1,8,8,7,2,0,0,1,0,1,0,1,Software Developer
8,1,7,6,10,6,1,1,1,1,1,1,1,UI/UX Designer
2,5,7,3,4,6,0,1,1,1,0,1,0,Project Manager
1,6,3,8,2,2,1,1,1,1,1,0,1,Research Scientist
7,6,10,9,7,1,0,1,0,0,1,1,0,Cybersecurity Specialist
7,3,10,1,6,10,1,0,0,0,1,0,1,DevOps Engineer
8,7,3,9,3,5,1,1,1,1,0,1,1,Research Scientist
5,9,2,6,6,5,0,1,0,1,1,0,1,Technical Writer
3,10,1,6,6,2,0,1,0,0,1,0,0,Graphic Designer
8,8,7,4,5,6,0,1,1,1,1,1,0,Project Manager
6,6,7,1,4,9,0,0,0,0,0,0,0,Cybersecurity Specialist
3,8,2,10,10,2,1,1,1,0,0,0,0,Graphic Designer
1,5,7,8,1,10,1,0,1,0,1,1,1,Technical Writer
3,8,8,2,10,2,0,1,0,1,0,1,0,Technical Writer
5,10,1,1,6,3,1,0,0,1,1,0,0,AI/ML Engineer
3,4,9,2,2,7,0,0,1,0,0,1,1,Software Developer
1,10,7,1,3,6,0,0,1,1,0,1,1,Cybersecurity Specialist
5,8,3,1,8,8,1,0,0,0,1,0,0,UI/UX Designer
10,10,8,9,10,8,1,0,1,0,0,0,1,Cloud Engineer
7,2,7,1,6,6,0,1,1,0,0,1,0,Software Developer
7,5,8,4,3,10,0,1,1,0,0,1,1,AI/ML Engineer
9,9,6,10,7,3,0,1,0,1,1,1,0,Technical Writer
10,4,9,6,4,3,1,0,1,0,0,0,0,AI/ML Engineer
10,6,5,7,9,1,1,1,0,0,0,0,0,Teacher / Lecturer
3,1,3,2,5,7,1,0,1,1,1,0,0,AI/ML Engineer
7,9,3,6,3,5,1,0,0,0,0,0,0,Research Scientist
1,1,1,7,2,4,0,1,1,0,0,0,1,Data Scientist
4,5,8,10,2,10,0,1,0,1,0,0,0,Teacher / Lecturer
4,4,2,10,3,4,0,0,0,1,0,0,0,Teacher / Lecturer
5,3,3,2,2,4,0,0,0,1,0,1,0,Cloud Engineer
7,6,8,2,4,6,0,1,1,0,1,1,0,Software Developer
7,2,8,10,2,8,0,1,1,1,1,0,0,Research Scientist
4,3,4,7,10,8,1,1,1,1,0,0,1,Product Manager
7,5,4,1,9,5,1,1,0,0,0,0,1,Business Analyst
3,9,5,8,2,6,0,0,1,0,0,1,0,Cybersecurity Specialist
6,2,6,3,9,4,0,1,0,0,1,0,1,Digital Marketing Specialist
2,10,5,6,6,9,1,1,1,0,1,1,0,UI/UX Designer
10,8,7,9,1,8,1,1,0,0,0,1,1,AI/ML Engineer
9,2,2,6,4,10,1,0,0,1,0,1,1,UI/UX Designer
5,5,7,9,1,10,1,0,0,1,1,1,0,Data Scientist
6,7,10,7,6,1,0,0,1,1,0,1,1,Software Developer
4,8,7,9,4,2,0,0,1,0,1,0,1,Data Scientist
10,1,1,2,3,9,0,1,1,0,1,0,0,Software Developer
7,6,7,8,3,8,0,0,0,0,0,1,0,Research Scientist
9,1,5,8,9,3,0,1,0,1,1,0,1,Teacher / Lecturer
7,2,3,2,6,8,1,1,1,1,0,1,1,Product Manager
1,1,3,4,9,1,0,1,1,0,0,1,1,UI/UX Designer
1,5,4,7,5,10,1,1,1,1,0,0,0,Teacher / Lecturer
9,10,2,4,2,4,0,0,0,0,0,0,1,Cloud Engineer
9,9,2,4,8,3,0,0,0,1,0,0,1,DevOps Engineer
4,6,1,6,5,6,0,0,0,1,0,0,1,Cybersecurity Specialist
9,1,5,10,2,7,0,1,0,1,1,0,0,Software Developer
3,1,4,6,4,4,0,1,0,0,1,1,0,UI/UX Designer
7,2,10,10,9,7,1,1,1,1,1,0,0,Data Scientist
6,9,2,3,4,9,1,1,0,1,1,0,0,AI/ML Engineer
8,3,3,9,4,2,1,1,0,0,0,0,1,Cloud Engineer
9,1,7,10,2,3,0,0,0,1,1,1,0,Cloud Engineer
5,5,7,2,6,5,0,1,0,0,1,0,1,Cloud Engineer
1,7,4,6,2,3,1,0,0,0,1,1,1,Project Manager
3,6,5,7,7,8,0,1,1,0,0,0,1,Project Manager
10,1,5,9,3,10,0,1,0,0,1,0,1,Digital Marketing Specialist
8,5,6,3,3,8,1,0,0,0,0,1,0,Project Manager
6,5,9,10,5,8,0,0,0,1,1,0,0,Project Manager
8,6,2,3,3,9,1,1,1,0,0,0,0,Data Scientist
9,3,5,7,2,4,0,1,1,0,0,1,0,Software Developer
4,5,3,4,10,5,1,1,1,0,1,0,0,Teacher / Lecturer
1,7,4,8,9,5,0,1,0,0,0,1,1,Product Manager
1,5,10,7,2,8,0,0,1,1,0,1,0,Cybersecurity Specialist
10,5,6,5,2,7,1,1,0,0,1,1,0,Cloud Engineer
4,5,8,7,8,9,0,0,0,1,1,1,0,AI/ML Engineer
7,10,1,3,9,8,0,1,1,0,1,1,0,Business Analyst
2,10,10,2,7,2,1,0,0,1,0,0,1,Digital Marketing Specialist
3,3,8,6,3,10,0,0,0,0,0,0,1,Teacher / Lecturer
1,1,7,2,9,4,1,1,0,0,0,0,1,Graphic Designer
5,5,1,3,3,6,0,0,1,1,1,1,1,Graphic Designer
1,9,2,6,5,2,0,1,0,0,0,1,1,Business Analyst
8,1,3,5,9,7,0,0,0,1,0,1,0,Technical Writer
1,3,1,8,3,3,0,1,1,0,0,1,1,Data Scientist
1,4,9,9,7,3,1,0,0,1,0,0,1,Project Manager
2,1,8,3,1,2,0,1,0,0,0,0,1,Project Manager
2,1,2,10,4,8,1,1,1,0,0,1,0,Data Scientist
6,8,9,3,4,6,0,0,0,1,0,1,0,Digital Marketing Specialist
7,2,7,3,7,1,0,0,0,0,1,0,1,Business Analyst
5,8,9,6,8,1,0,0,0,0,1,1,0,Data Scientist
1,7,6,1,1,7,0,0,0,0,1,1,0,Digital Marketing Specialist
1,10,6,7,5,8,1,1,0,0,0,1,1,AI/ML Engineer
3,10,4,1,7,5,1,0,1,0,0,0,0,UI/UX Designer
2,2,10,5,4,5,1,1,1,0,1,0,0,DevOps Engineer
5,6,10,10,4,4,1,0,1,1,0,1,0,Research Scientist
10,6,2,8,4,6,0,1,1,1,1,0,1,UI/UX Designer
6,3,7,4,6,6,1,1,0,1,0,1,1,Technical Writer
7,2,5,5,7,3,1,1,0,0,0,1,1,Project Manager
4,1,6,4,2,9,0,1,0,1,1,0,0,Teacher / Lecturer
7,6,2,4,5,7,0,0,0,0,1,1,1,Software Developer
8,5,5,8,4,1,0,0,0,0,1,1,0,AI/ML Engineer
1,9,10,2,3,7,0,1,1,0,1,0,0,Cloud Engineer
6,1,4,1,7,5,1,0,1,0,1,1,0,Cloud Engineer
8,7,9,3,6,5,1,0,0,1,0,1,1,Data Scientist
5,5,6,9,7,2,0,1,0,0,0,1,1,Cybersecurity Specialist
4,5,2,4,5,4,0,0,0,1,0,0,1,Business Analyst
2,2,1,10,6,6,0,0,1,0,1,1,1,Graphic Designer
6,3,5,5,5,10,1,0,0,1,1,0,0,Cloud Engineer
6,7,9,2,7,7,1,1,0,1,1,1,1,Business Analyst
1,6,6,4,2,5,0,0,0,1,1,1,0,Digital Marketing Specialist
9,2,10,2,5,9,0,1,1,1,1,1,1,Business Analyst
6,6,7,2,6,3,1,0,0,1,1,1,1,Software Developer
3,2,5,4,6,1,0,0,1,1,0,0,1,Cybersecurity Specialist
4,2,10,6,5,4,0,0,1,0,0,0,0,Product Manager
4,2,6,7,10,9,1,1,1,1,0,1,0,Teacher / Lecturer
3,3,5,10,7,4,0,1,1,0,0,1,0,Project Manager
10,2,9,3,10,2,1,0,1,1,0,1,0,UI/UX Designer
3,4,6,3,8,10,0,1,1,0,1,1,0,DevOps Engineer
3,9,8,10,7,5,0,0,0,1,1,1,1,Teacher / Lecturer
4,6,2,6,5,3,1,1,0,1,1,1,0,Data Scientist
7,1,9,3,1,9,1,1,0,0,1,1,0,AI/ML Engineer
4,8,5,2,5,4,0,0,1,1,1,1,0,Research Scientist
9,7,7,8,10,6,1,0,0,1,1,0,0,Research Scientist
1,10,10,5,2,2,0,0,1,1,0,0,1,DevOps Engineer
8,3,1,1,5,6,0,0,1,0,1,0,0,Research Scientist
7,1,10,3,5,3,1,1,1,1,1,1,1,Cloud Engineer
2,5,5,10,2,9,0,1,0,0,1,1,1,Product Manager
8,4,10,8,5,2,0,1,1,1,1,1,1,Software Developer
1,10,2,4,4,9,1,0,1,1,0,0,0,Product Manager
9,8,6,7,1,5,1,0,0,0,0,1,1,Software Developer
9,1,1,10,3,8,0,1,0,1,1,0,0,UI/UX Designer
2,10,3,2,1,2,1,0,1,1,0,1,0,UI/UX Designer
7,1,5,7,5,6,1,1,1,0,0,0,0,Product Manager
10,4,4,5,4,3,1,1,0,1,1,0,0,Research Scientist
3,8,3,5,7,10,1,1,0,0,1,0,0,UI/UX Designer
7,5,10,6,5,5,0,1,0,0,1,1,1,Cybersecurity Specialist
10,2,5,9,10,8,0,1,1,0,1,0,1,Data Scientist
9,6,8,6,4,10,0,0,0,1,1,1,0,Software Developer
4,5,4,8,2,1,1,0,0,0,0,1,1,Business Analyst
1,2,1,7,4,5,1,0,0,0,1,1,0,DevOps Engineer
2,3,7,9,2,3,1,1,1,1,1,1,1,Project Manager
1,9,8,4,8,4,1,1,0,0,1,1,1,Data Scientist
5,7,3,2,3,2,1,1,0,1,0,0,1,Teacher / Lecturer
5,7,6,7,9,9,1,1,0,1,1,1,1,UI/UX Designer
7,6,2,6,4,3,1,0,0,1,1,1,1,Product Manager
9,8,7,1,6,2,0,0,0,1,1,1,0,Project Manager
9,4,8,9,10,10,0,1,1,0,0,1,0,Software Developer
3,8,6,9,5,9,1,1,1,0,1,1,1,Business Analyst
3,4,6,2,10,7,1,1,1,0,1,0,0,Digital Marketing Specialist
3,8,5,3,1,6,1,0,0,0,1,0,1,Teacher / Lecturer
4,9,8,5,9,1,0,0,1,0,0,1,0,Data Scientist
8,3,1,5,1,5,0,0,1,1,1,0,1,Graphic Designer
6,3,10,1,8,3,1,1,1,0,1,0,1,Product Manager
8,2,4,8,9,1,1,1,0,0,1,1,1,Project Manager
1,10,4,8,9,4,0,0,0,0,0,0,0,UI/UX Designer
8,3,3,4,1,2,0,1,1,1,1,1,0,UI/UX Designer
4,3,3,7,2,2,0,0,1,1,1,0,1,Software Developer
1,5,4,10,1,3,0,1,0,0,1,0,1,Digital Marketing Specialist
8,5,1,3,10,8,1,0,0,1,0,0,0,Technical Writer
4,2,2,6,2,8,0,1,1,0,0,1,0,Research Scientist
6,10,9,10,10,7,0,0,0,0,1,0,0,Technical Writer
8,6,10,10,8,6,1,0,1,1,0,0,0,DevOps Engineer
4,5,2,9,5,9,0,0,0,1,0,1,0,AI/ML Engineer
3,6,5,1,7,4,0,0,1,0,0,1,1,DevOps Engineer
9,1,9,5,2,1,0,0,1,0,1,0,0,Teacher / Lecturer
3,5,9,4,8,8,1,0,0,1,1,1,1,Technical Writer
9,9,8,8,6,7,0,1,1,0,0,0,1,AI/ML Engineer
2,10,1,1,8,7,1,1,1,1,0,0,0,DevOps Engineer
2,2,1,9,1,3,1,1,1,0,0,1,0,DevOps Engineer
2,1,9,6,1,4,0,0,0,1,1,1,1,Cloud Engineer
6,10,8,4,7,10,0,0,0,0,1,1,0,Research Scientist
3,9,10,9,8,9,0,1,0,0,0,0,1,Software Developer
9,10,9,5,3,6,0,0,1,1,0,1,0,Graphic Designer
4,9,7,5,5,5,1,0,0,0,0,0,0,DevOps Engineer
1,9,3,5,1,3,0,0,1,0,0,1,0,Cloud Engineer
4,6,3,1,7,9,0,0,1,1,1,0,1,Product Manager
1,8,2,1,5,5,0,0,0,0,0,1,0,AI/ML Engineer
5,1,5,8,8,5,1,1,0,0,1,0,1,UI/UX Designer
4,10,3,8,8,4,0,1,1,0,0,1,0,Project Manager
8,4,6,6,9,4,0,1,1,1,0,0,1,Data Scientist
8,1,2,4,7,1,1,1,0,1,0,1,0,Graphic Designer
7,8,3,2,1,7,1,1,0,1,0,1,1,Cybersecurity Specialist
3,1,5,2,3,9,0,0,0,0,0,0,1,Business Analyst
1,3,1,9,8,3,0,0,1,0,1,1,1,Cybersecurity Specialist
1,4,1,5,3,2,0,0,1,0,0,0,1,Project Manager
3,8,10,4,8,3,0,0,1,0,0,0,1,UI/UX Designer
6,6,9,10,1,1,0,1,1,1,0,1,1,Business Analyst
7,10,7,1,5,6,1,1,1,0,1,0,0,Product Manager
6,7,1,7,4,7,1,1,0,0,1,1,1,Project Manager
6,8,8,3,5,2,0,0,0,0,1,1,1,Project Manager
6,2,3,6,8,8,0,1,1,1,1,0,1,UI/UX Designer
3,10,8,5,10,6,1,0,1,0,0,1,0,Technical Writer
6,8,5,5,4,4,0,1,0,0,0,0,0,AI/ML Engineer
8,3,1,5,4,5,0,1,0,0,0,0,0,Technical Writer
2,7,7,1,3,8,0,0,0,0,1,1,1,UI/UX Designer
5,3,5,1,7,3,0,0,0,0,0,1,0,Graphic Designer
1,7,6,3,3,3,0,1,1,1,0,0,0,Project Manager
1,2,6,10,3,4,1,1,0,0,1,0,1,Product Manager
5,10,8,4,10,1,0,0,1,0,1,1,1,Business Analyst
3,6,9,5,5,9,0,1,0,0,1,1,0,Software Developer
4,3,2,2,5,8,0,1,0,0,0,1,1,AI/ML Engineer
3,3,9,8,6,8,1,0,0,0,0,1,1,UI/UX Designer
1,9,10,2,8,10,1,1,1,0,1,0,1,Data Scientist
1,7,9,9,10,6,1,0,1,0,0,1,1,Research Scientist
5,5,10,2,6,7,1,1,0,0,1,0,0,Technical Writer
6,10,10,9,1,6,0,0,1,0,1,0,1,Technical Writer
3,7,7,7,8,9,1,1,1,0,0,1,0,Teacher / Lecturer
9,9,1,8,8,3,0,0,0,1,1,0,0,Cybersecurity Specialist
5,1,7,2,9,3,0,1,0,1,1,1,0,Teacher / Lecturer
8,7,10,7,9,3,1,0,1,1,1,0,0,Digital Marketing Specialist
1,6,5,6,2,10,1,1,1,1,0,1,1,Cybersecurity Specialist
5,10,6,4,2,3,1,1,1,0,1,0,1,Technical Writer
3,9,10,7,3,9,1,1,0,1,1,0,1,Research Scientist
1,1,7,4,1,4,1,1,0,1,1,1,0,Data Scientist
4,4,5,2,4,7,0,1,1,0,1,1,0,UI/UX Designer
5,9,7,10,4,9,1,1,0,1,1,0,0,Project Manager
7,4,9,7,9,7,1,1,0,1,1,0,1,Research Scientist
1,10,3,8,9,9,1,1,1,0,1,1,0,Technical Writer
3,3,8,2,9,3,0,1,1,0,0,0,1,Business Analyst
2,9,2,5,10,4,1,0,0,0,0,1,1,DevOps Engineer
9,2,7,1,7,8,0,0,0,1,1,0,1,Data Scientist
10,4,2,7,2,6,1,1,1,1,0,1,1,Product Manager
6,6,4,8,10,5,1,0,0,0,0,0,0,Software Developer
10,2,7,6,5,4,0,1,0,0,1,1,1,Digital Marketing Specialist
3,8,3,5,4,8,1,1,1,1,0,1,0,Cloud Engineer
8,8,2,6,8,1,0,0,1,0,1,0,1,Software Developer
8,1,10,2,2,9,0,1,0,1,1,1,0,Cloud Engineer
2,3,7,1,6,1,0,1,0,0,1,0,0,Digital Marketing Specialist
6,10,1,7,5,8,1,0,0,0,1,1,1,Cybersecurity Specialist
7,9,8,7,2,4,1,0,1,1,1,1,1,Digital Marketing Specialist
2,5,3,10,10,9,1,1,0,0,0,1,1,Research Scientist
10,6,2,10,1,5,0,0,0,0,1,0,0,Digital Marketing Specialist
2,4,3,2,8,3,1,0,1,0,0,1,1,Data Scientist
10,10,5,2,2,9,0,1,1,1,1,0,1,Data Scientist
1,2,8,1,7,9,1,0,0,0,1,1,0,DevOps Engineer
8,8,10,10,9,4,0,0,1,0,1,0,1,Product Manager
1,6,7,8,9,4,0,1,1,0,0,0,0,Digital Marketing Specialist
9,5,7,8,8,8,0,0,0,0,1,0,1,Teacher / Lecturer
6,9,7,1,10,2,1,0,1,0,1,1,0,Teacher / Lecturer
7,1,8,8,9,9,0,1,1,0,1,0,0,Software Developer
10,5,1,9,2,6,0,1,0,1,1,1,1,Digital Marketing Specialist
7,6,4,4,6,9,0,1,1,1,0,0,0,Graphic Designer
10,5,6,1,4,8,0,0,0,0,1,0,1,Digital Marketing Specialist
3,6,9,1,4,7,0,1,0,1,0,0,1,Data Scientist
2,6,2,3,5,1,0,1,1,1,1,0,0,Graphic Designer
9,7,1,5,3,3,1,0,1,0,0,1,1,Research Scientist
8,4,10,5,1,2,1,1,1,1,0,0,0,AI/ML Engineer
10,8,2,9,8,5,0,1,0,1,1,0,0,Technical Writer
7,7,7,10,5,5,1,1,1,1,1,1,0,Business Analyst
9,9,3,2,3,5,1,1,0,1,0,0,0,DevOps Engineer
4,7,10,2,10,4,0,0,1,1,1,0,0,Project Manager
4,3,2,6,7,5,0,1,1,1,1,0,0,Business Analyst
1,3,7,9,7,3,0,1,1,1,1,0,0,Product Manager
8,8,2,1,1,1,1,0,0,1,0,1,0,Cybersecurity Specialist
3,5,3,9,9,5,0,1,1,0,1,1,1,DevOps Engineer
7,4,7,9,2,9,1,0,1,0,1,0,1,DevOps Engineer
2,8,4,9,5,9,0,0,0,1,1,1,0,Business Analyst
2,6,1,5,5,4,1,0,0,1,0,1,1,Data Scientist
7,2,5,9,8,3,0,1,1,0,1,0,1,Digital Marketing Specialist
6,4,9,4,8,1,0,0,1,1,0,1,1,Teacher / Lecturer
3,4,8,2,7,2,1,0,1,1,1,0,1,Teacher / Lecturer
9,6,9,6,7,8,1,0,0,0,0,1,1,DevOps Engineer
10,6,10,4,6,1,1,1,0,0,1,1,1,Research Scientist
6,1,9,6,6,8,1,1,0,0,1,1,0,Digital Marketing Specialist
10,8,7,3,9,7,1,1,0,1,0,0,1,Project Manager
10,6,4,6,6,8,1,1,1,1,0,1,1,AI/ML Engineer
6,3,5,2,2,6,0,1,0,0,0,0,1,Graphic Designer
1,9,1,2,2,9,1,1,0,0,1,0,1,Business Analyst
4,2,1,9,5,3,0,1,0,1,1,1,0,Software Developer
10,8,3,7,4,10,0,0,1,0,1,0,0,Technical Writer
6,10,8,3,2,4,1,0,1,1,1,1,0,Graphic Designer
6,3,2,1,3,6,0,0,0,1,0,0,0,Graphic Designer
5,5,4,8,7,8,1,0,0,0,1,0,1,Project Manager
1,6,2,6,8,5,1,1,1,0,1,1,0,Business Analyst
8,10,5,7,6,3,0,0,1,1,1,1,0,Project Manager
5,6,9,9,5,6,0,0,1,0,1,1,0,Software Developer
5,4,1,5,1,4,1,0,1,0,1,1,0,UI/UX Designer
7,3,5,1,8,9,1,0,1,0,1,0,1,UI/UX Designer
4,4,9,10,3,3,0,1,1,0,1,0,0,Teacher / Lecturer
6,1,1,7,6,4,0,1,1,1,0,0,1,Cloud Engineer
4,4,9,5,3,7,0,1,1,1,1,1,0,Cloud Engineer
3,1,8,3,7,7,0,0,0,1,1,0,1,Business Analyst
7,1,4,9,7,4,1,1,0,1,1,1,1,AI/ML Engineer
8,10,10,1,9,6,1,0,0,0,1,0,0,Research Scientist
4,6,5,1,5,3,1,1,0,0,0,1,0,Digital Marketing Specialist
2,5,5,1,8,6,1,1,0,1,0,0,0,Graphic Designer
10,4,6,3,10,2,0,1,0,1,0,0,0,DevOps Engineer
3,3,7,6,10,8,0,1,1,0,0,1,1,Cybersecurity Specialist
1,1,8,10,8,2,1,1,1,1,0,0,1,DevOps Engineer
8,6,8,3,1,7,1,0,0,1,0,1,0,Product Manager
3,2,2,8,5,9,1,1,0,0,1,0,0,Project Manager
10,8,9,10,3,1,1,0,1,1,0,0,1,Technical Writer
7,10,7,2,1,8,1,0,1,0,0,1,0,Project Manager
10,5,4,9,4,7,1,0,1,0,1,1,1,Cybersecurity Specialist
5,7,4,3,8,6,1,0,0,1,0,0,0,Teacher / Lecturer
10,10,8,5,3,6,1,0,1,0,1,0,1,UI/UX Designer
5,2,4,10,10,6,1,1,0,1,1,0,1,DevOps Engineer
7,8,6,8,2,9,0,1,0,0,0,0,1,Data Scientist
9,2,5,2,9,2,1,1,1,1,1,0,1,Business Analyst
5,4,3,6,10,1,0,1,1,1,0,0,1,Product Manager
1,1,10,5,5,6,0,0,0,1,0,1,0,Business Analyst
10,5,2,10,7,10,1,1,1,0,1,1,1,AI/ML Engineer
10,9,9,9,2,8,1,1,1,0,1,1,0,Teacher / Lecturer
1,1,10,5,9,3,0,0,0,1,0,0,1,Project Manager
2,9,9,2,9,10,0,0,1,0,1,0,1,Software Developer
6,8,1,5,4,1,1,1,0,1,1,0,0,Technical Writer
9,6,10,4,4,9,0,1,0,1,0,1,0,Data Scientist
8,7,3,7,6,1,1,0,1,0,0,1,0,DevOps Engineer
5,3,8,6,10,3,1,1,0,1,1,0,0,Cybersecurity Specialist
1,1,6,2,10,8,1,1,0,0,0,0,1,Graphic Designer
7,5,5,5,10,3,0,1,1,1,0,1,0,Digital Marketing Specialist
